position,mean_log_prob,median_log_prob,std_log_prob,count,min_log_prob,max_log_prob
44,-3.1110640592753045,-2.2089905738830566,2.7782155484899027,240,-12.892717361450195,-0.0001995364436879754
45,-2.892395788103507,-2.036593794822693,2.7090859747860034,240,-11.358263969421387,-0.00032693761750124395
46,-3.2339496049965724,-2.4086986780166626,2.9878549641847636,240,-14.582597732543945,-0.0001902399235405028
47,-2.7823899422272613,-2.1060925722122192,2.5477968337439845,240,-11.14625358581543,-0.0001805857609724626
48,-3.1898032439503976,-2.3896044492721558,2.999481180101029,240,-15.752991676330566,-0.003440296743065119
49,-3.2477044512451054,-2.5494779348373413,2.8977337059414143,240,-21.247772216796875,-8.034383063204587e-05
50,-2.666355014291912,-1.940771758556366,2.481264568150107,240,-10.02161979675293,-0.00028236693469807506
51,-3.2361457282680326,-2.342176914215088,3.019531297166342,240,-15.602161407470703,-3.1470757676288486e-05
52,-3.248252339321031,-2.767263174057007,2.676308193740397,240,-11.03720760345459,-0.00020418466010596603
53,-2.6487904455615836,-1.7331350445747375,2.695655648677893,240,-14.274540901184082,-0.00046850196667946875
54,-3.029236775413665,-1.945425033569336,2.931670439187381,240,-13.62451171875,-0.00013422065239865333
55,-2.826470996176105,-2.1058950424194336,2.686115088315464,240,-17.69902229309082,-1.7762025890988298e-05
56,-2.7867869928758107,-1.9792540073394775,2.6284382640499646,240,-11.64666748046875,-0.0005675135762430727
57,-2.647044834187771,-1.8739902973175049,2.6662005047448427,240,-12.822744369506836,-2.861018856492592e-06
58,-2.834186385051483,-2.040632128715515,2.6057586105405397,240,-11.838934898376465,-0.0009982370538637042
59,-3.1548293321018717,-2.251837730407715,2.936594588551837,240,-16.535751342773438,-0.0002615109842736274
60,-2.9807280309717803,-2.138575553894043,2.8109203400953073,240,-11.371429443359375,-0.0002734287118073553
61,-2.8686312101789855,-1.9264376759529114,2.689358089581881,240,-12.690021514892578,-8.797258487902582e-05
62,-2.6059742285313403,-2.0259175300598145,2.416419067483057,240,-10.967966079711914,-6.12716976320371e-05
63,-2.9699114789541152,-2.1230627298355103,3.0340210261648615,240,-15.717057228088379,0.0
64,-2.7818644986730456,-2.0212275981903076,2.6238052546383015,240,-14.181400299072266,-0.000460876093711704
65,-2.8258544470824947,-1.929728627204895,2.7017137531984625,240,-12.492778778076172,-1.0728830375228426e-06
66,-2.781922577050379,-2.014036178588867,2.54481303576618,240,-11.750161170959473,-0.0012500813463702798
